"market","ticker","name","dividend_yield_pct","fvtpl_twd_million","fvtpl_assets_pct","evidence_tier"
"TPEx","7718","友鋮",5.36,156.078,6.98,"official-xbrl"
"TPEx","8284","三竹",6.05,154.811,6.91,"secondary-finmind"
"TPEx","5356","協益",7.69,417.707,6.86,"secondary-finmind"
"TWSE","1817","凱撒衛",5.5,210.789,6.68,"official-xbrl"
"TPEx","6248","沛波",7.2,268.241,6.66,"secondary-finmind"
"TWSE","2393","億光",7.19,2068.185,6.57,"official-xbrl"
"TPEx","2752","豆府",7.46,151.326,6.55,"secondary-finmind"
"TPEx","2063","世鎧",6.2,133.094,6.49,"secondary-finmind"
"TWSE","2535","達欣工",5.16,1977.02,6.37,"official-xbrl"
"TWSE","4440","宜新實業",5.68,126.614,6.1,"secondary-finmind"
"TWSE","1612","宏泰",7.2,675.687,5.93,"official-xbrl"
"TWSE","5215","科嘉-KY",5.21,299.104,5.93,"official-xbrl"
"TWSE","2020","美亞",8.26,548.252,5.84,"official-xbrl"
"TWSE","5236","凌陽創新",6.69,206.978,5.82,"secondary-finmind"
"TPEx","7782","光速火箭",7.74,49.032,5.79,"secondary-finmind"
"TPEx","4114","健喬",5.56,858.364,5.62,"secondary-finmind"
"TPEx","5209","新鼎",8.46,267.944,5.48,"secondary-finmind"
"TWSE","2228","劍麟",5.96,374.114,5.39,"official-xbrl"
"TWSE","2739","寒舍",6.84,595.292,5.24,"secondary-finmind"
"TPEx","6203","海韻電",6.62,193.451,5.01,"secondary-finmind"
"TWSE","2904","匯僑",5.51,86.01,4.98,"secondary-finmind"
"TWSE","2432","倚天酷碁-創",6.07,93.85,4.79,"official-xbrl"
"TPEx","9960","邁達康",5.17,52.946,4.79,"official-xbrl"
"TPEx","2745","五福",8.56,145.012,4.78,"secondary-finmind"
"TPEx","6294","智基",10.42,61.204,4.75,"secondary-finmind"
"TPEx","4420","光明",7.72,75.765,4.7,"secondary-finmind"
"TWSE","3607","谷崧",5.9,145.39,4.65,"secondary-finmind"
"TWSE","1529","樂事綠能",6.33,150.041,4.64,"official-xbrl"
"TWSE","1615","大山",5.92,286.18,4.33,"official-xbrl"
"TWSE","1339","昭輝",5.82,224.025,4.32,"official-xbrl"
"TWSE","2812","台中銀",5.46,44096.381,4.31,"official-openapi"
"TWSE","2753","八方雲集",6.7,360.414,4.27,"secondary-finmind"
"TWSE","2834","臺企銀",5.65,109004.098,4.23,"official-openapi"
"TPEx","1593","祺驊",6.33,79.241,4.2,"secondary-finmind"
"TWSE","2488","漢平",6.2,175.787,4.17,"secondary-finmind"
"TWSE","2477","美隆電",6.48,353.779,4.08,"secondary-finmind"
"TWSE","1457","宜進",6.97,680.462,4.06,"official-xbrl"
"TWSE","2348","海悅",7.65,2028.935,4.04,"official-xbrl"
"TWSE","2545","皇翔",8.05,2498.285,3.87,"secondary-finmind"
"TWSE","5225","東科-KY",13.18,245,3.76,"secondary-finmind"
"TPEx","3158","嘉實",7.78,50.166,3.74,"secondary-finmind"
"TWSE","3592","瑞鼎",6.68,800.061,3.7,"secondary-finmind"
"TPEx","3213","茂訊",5.69,204.019,3.62,"secondary-finmind"
"TWSE","2442","新美齊",17.18,811.831,3.58,"official-xbrl"
"TWSE","4137","麗豐-KY",12.97,356.628,3.56,"secondary-finmind"
"TWSE","8249","菱光",5.23,349.507,3.52,"official-xbrl"
"TWSE","1215","卜蜂",6.36,1150.08,3.51,"official-xbrl"
"TPEx","7805","威聯通",7.87,385.316,3.41,"secondary-finmind"
"TPEx","6803","崑鼎",5.82,616.264,3.4,"secondary-finmind"
"TWSE","2415","錩新",5.7,361.722,3.32,"official-xbrl"
"TPEx","5604","中連",6.34,81.601,3.28,"secondary-finmind"
"TWSE","1535","中宇",6.57,233.817,3.11,"official-xbrl"
"TWSE","1218","泰山",9.13,436.779,3.05,"official-xbrl"
"TWSE","1731","美吾華",5.81,103.25,2.97,"official-xbrl"
"TPEx","3227","原相",5.37,562.625,2.87,"official-xbrl"
"TPEx","4120","友華",8.7,334.425,2.85,"secondary-finmind"
"TWSE","7705","三商餐飲",5.37,108.845,2.76,"official-xbrl"
"TWSE","2636","台驊控股",7.28,650.261,2.73,"secondary-finmind"
"TWSE","6216","居易",5.19,51.742,2.71,"secondary-finmind"
"TPEx","8342","益張",5.81,48.84,2.61,"secondary-finmind"
"TWSE","9925","新保",5.05,570.87,2.57,"official-xbrl"
"TPEx","2718","全心投控",13.57,189.657,2.55,"secondary-finmind"
"TWSE","3679","新至陞",8.37,241.241,2.55,"secondary-finmind"
"TWSE","4532","瑞智",6.32,816.232,2.55,"secondary-finmind"
"TPEx","8446","華研",9.4,73.133,2.49,"secondary-finmind"
"TPEx","8938","明安",7.69,318.77,2.48,"secondary-finmind"
"TWSE","2540","愛山林",12.45,1557.38,2.46,"secondary-finmind"
"TWSE","1752","南光",5.08,96.904,2.46,"official-xbrl"
"TWSE","2496","卓越",9.07,38.038,2.45,"secondary-finmind"
"TWSE","3038","全台",6.0,94.029,2.45,"secondary-finmind"
"TWSE","6189","豐藝",5.76,419.124,2.43,"secondary-finmind"
"TPEx","6844","諾貝兒",6.68,118.718,2.35,"secondary-finmind"
"TPEx","6899","創為精密",5.61,54.43,2.27,"secondary-finmind"
"TWSE","2414","精技",5.8,405.76,2.25,"official-xbrl"
"TPEx","2732","六角",5.55,130.379,2.24,"secondary-finmind"
"TWSE","3025","星通",6.35,27.064,2.22,"secondary-finmind"
"TWSE","9904","寶成",5.26,9098.36,2.21,"official-xbrl"
"TWSE","6771","平和環保-創",7.66,30.504,2.15,"secondary-finmind"
"TWSE","8341","日友",5.36,204.211,2.0,"official-xbrl"
"TWSE","8367","建新國際",7.0,349.035,1.93,"secondary-finmind"
"TPEx","6194","育富",5.03,45.045,1.9,"official-xbrl"
"TPEx","2643","捷迅",7.14,58.545,1.84,"secondary-finmind"
"TWSE","2420","新巨",5.59,111.545,1.84,"official-xbrl"
"TWSE","2474","可成",5.01,4208.842,1.84,"official-xbrl"
"TWSE","2387","精元",11.03,362.009,1.8,"official-xbrl"
"TWSE","3130","一零四",7.0,76.845,1.76,"secondary-finmind"
"TWSE","2204","中華",6.75,958.276,1.73,"official-xbrl"
"TWSE","1531","高林股",8.47,76.538,1.64,"official-xbrl"
"TWSE","2607","榮運",5.08,739.2,1.54,"official-xbrl"
"TWSE","2107","厚生",5.23,264.683,1.52,"official-xbrl"
"TWSE","6115","鎰勝",6.35,130.183,1.51,"secondary-finmind"
"TPEx","7713","威力德生醫",5.55,37.82,1.5,"secondary-finmind"
"TWSE","9924","福興",6.5,133.346,1.48,"secondary-finmind"
"TWSE","6024","群益期",5.67,2070.424,1.48,"secondary-finmind"
"TPEx","6242","立康",5.85,15.887,1.4,"secondary-finmind"
"TPEx","7716","昱臺國際",7.11,10.326,1.35,"secondary-finmind"
"TWSE","8114","振樺電",6.37,299.774,1.33,"secondary-finmind"
"TWSE","1604","聲寶",6.34,274.085,1.33,"official-xbrl"
"TWSE","2109","華豐",6.69,98.478,1.13,"official-xbrl"
"TWSE","1477","聚陽",7.58,269.035,1.12,"official-xbrl"
"TWSE","6670","復盛應用",5.73,349.879,1.12,"secondary-finmind"
"TWSE","3703","欣陸",5.29,1068.858,1.09,"official-xbrl"
"TWSE","2614","東森",6.61,254.515,1.07,"secondary-finmind"
"TPEx","6506","雙邦",5.48,28.995,1.07,"official-xbrl"
"TWSE","2731","雄獅",8.95,141.951,1.02,"secondary-finmind"
"TPEx","3171","炎洲流通",7.48,18.76,1.02,"secondary-finmind"
"TPEx","4538","大詠城",5.73,9.534,1.02,"secondary-finmind"
"TWSE","3705","永信",5.35,133.942,1.02,"official-xbrl"
"TPEx","6596","寬宏藝術",19.7,19.701,1.01,"secondary-finmind"
"TWSE","2546","根基",5.71,165.381,0.97,"secondary-finmind"
"TPEx","5278","尚凡*",5.13,77.147,0.93,"official-xbrl"
"TPEx","5511","德昌",8.03,151.656,0.91,"secondary-finmind"
"TWSE","6625","必應",6.59,33.509,0.9,"secondary-finmind"
"TWSE","1603","華電",6.66,111.101,0.88,"official-xbrl"
"TWSE","8070","長華*",5.42,447.924,0.86,"official-xbrl"
"TPEx","6121","新普",5.76,678.12,0.81,"secondary-finmind"
"TWSE","5871","中租-KY",5.22,7715.017,0.78,"official-xbrl"
"TWSE","2373","震旦行",6.93,136.408,0.77,"official-xbrl"
"TWSE","2480","敦陽科",5.02,71.785,0.76,"official-xbrl"
